Sturnus_vulgaris,8265,8240,25,21,52
Lamprotornis_superbus,8229,8208,21,24,85
Rhabdornis_inornatus,8217,8200,17,52,69
Alethe_castanea,8057,8052,5,150,131
Alethe_diademata,8157,8149,8,81,100
Cercotrichas_coryphoeus,8073,8052,21,86,179
Copsychus_sechellarum,8203,8187,16,45,90
Muscicapa_adusta,8086,8077,9,105,147
Muscicapa_striata_striata,8233,8218,15,27,78
Muscicapa_comitata,8115,8105,10,104,119
Chamaetylas_choloensis,8085,8075,10,115,138
Chamaetylas_fuelleborni,8134,8123,11,98,106
Cossypha_dichroa,8187,8175,12,68,83
Cossypha_heuglini,8197,8189,8,64,77
Cossypha_niveicapilla,8230,8221,9,47,61
Cossypha_polioptera,8101,8089,12,124,113
Cossypha_caffra,8056,8047,9,154,128
Cichladusa_arquata,8133,8122,11,107,98
Pogonocichla_stellata,8085,8079,6,131,122
Erithacus_rubecula,8234,8217,17,20,84
Ficedula_albicollis,8249,8228,21,23,66
Oenanthe_melanoleuca,8230,8195,35,38,70
Saxicola_maurus_maurus,8165,8153,12,53,120
Catharus_bicknelli,7987,7960,27,143,208
Catharus_minimus,8053,8034,19,117,168
Catharus_ustulatus,8264,8055,209,13,61
Turdus_rufiventris,8080,8061,19,101,157
Sialia_sialis,7755,7746,9,88,495
Elachura_formosa,8038,7957,81,126,174
Certhia_americana,8202,8136,66,42,94
Certhia_brachydactyla,8206,8190,16,59,73
Sitta_carolinensis,8177,8153,24,16,145
Agelaius_phoeniceus,8277,8251,26,10,51
Agelaius_tricolor,8277,8253,24,9,52
Molothrus_ater,8275,8231,44,11,52
Geothlypis_trichas,8101,8001,100,33,204
Setophaga_kirtlandii,8037,8029,8,171,130
Setophaga_petechia,8193,8125,68,17,128
Ammospiza_caudacuta,8274,8248,26,15,49
Ammospiza_nelsoni,8261,8236,25,14,63
Melospiza_georgiana,8229,8205,24,15,94
Melospiza_melodia,8240,8207,33,17,81
Passerculus_sandwichensis,8273,8241,32,12,53
Artemisiospiza_belli,8268,8243,25,13,57
Melozone_crissalis,8284,8243,41,12,42
Junco_hyemalis,8167,8157,10,65,106
Zonotrichia_leucophrys,8266,8242,24,13,59
Emberiza_elegans,8176,8158,18,27,135
Camarhynchus_parvulus,8249,8239,10,12,77
Geospiza_fortis,8226,8208,18,37,75
Sporophila_hypoxantha,7624,7598,26,32,682
Diglossa_brunneiventris,8212,8142,70,17,109
Nesospiza_acunhae,8233,8219,14,44,61
Cardinalis_cardinalis,8211,8200,11,58,69
Calcarius_ornatus,8023,8005,18,127,188
Rhodinocichla_rosea,8196,8185,11,45,97
Carduelis_carduelis,8222,8211,11,41,75
Serinus_canaria,8255,8235,20,15,68
Serinus_canicollis,8136,8125,11,95,107
Spinus_pinus,8221,8208,13,44,73
Loxia_curvirostra,8239,8224,15,37,62
Haemorhous_mexicanus,8259,8234,25,10,69
Chlorodrepanis_virens,8156,8143,13,84,98
Hemignathus_wilsoni,8204,8177,27,59,75
Leucosticte_australis,8199,8180,19,37,102
Fringilla_coelebs,8280,8261,19,12,46
Motacilla_tschutschensis,8059,8048,11,103,176
Montifringilla_adamsi,8277,8258,19,18,43
Pyrgilauda_ruficollis,8261,8250,11,26,51
Onychostruthus_taczanowskii,8279,8269,10,16,43
Passer_domesticus,8174,8162,12,55,109
Passer_montanus,8266,8256,10,24,48
Prunella_himalayana,8133,8123,10,73,132
Anomalospiza_imberbis,8273,8241,32,18,47
Vidua_chalybeata,8280,8262,18,12,46
Vidua_macroura,8258,8239,19,14,66
Chloebia_gouldiae,8151,8033,118,89,98
Lonchura_striata,7896,7860,36,215,227
Taeniopygia_guttata,8245,8225,20,16,77
Dicaeum_eximium,8217,8198,19,55,66
Acrocephalus_arundinaceus,8266,8052,214,12,60
Acrocephalus_familiaris_kingi,7985,7936,49,77,276
Acrocephalus_scirpaceus_scirpaceus,8178,8135,43,23,137
Prinia_subflava,8251,8092,159,17,70
Brachypodius_atriceps,7788,7777,11,79,471
Chamaea_fasciata,8263,8235,28,10,65
Sylvia_atricapilla,8216,8124,92,20,102
Sylvia_borin,8236,8212,24,13,89
Cyanoderma_ruficeps,8229,8208,21,39,70
Mixornis_gularis,8094,8084,10,90,154
Zosterops_borbonicus,8216,8155,61,51,71
Zosterops_lateralis_melanops,8162,8149,13,67,109
Phylloscopus_collybita,8274,8187,87,12,52
Phylloscopus_trochilus_acredula,8126,8084,42,25,187
Phylloscopus_whistleri,8268,8064,204,15,55
Hirundo_rustica,8204,8173,31,25,109
Hirundo_rustica_rustica,8271,8132,139,12,55
Progne_subis_subis,7860,7631,229,56,422
Tachycineta_bicolor,8158,8076,82,73,107
Sylvietta_virens,8160,8151,9,58,120
Alauda_arvensis,8210,8153,57,44,84
Eremophila_alpestris_peregrina,8243,8221,22,32,63
Cyanistes_caeruleus,8227,8150,77,38,73
Parus_major,8244,8234,10,28,66
Pseudopodoces_humilis,8286,8271,15,8,44
Periparus_ater,8272,8257,15,11,55
Poecile_atricapillus,8283,7742,541,7,48
Alaudala_cheleensis,7726,7682,44,244,368
Cisticola_juncidis,7889,7865,24,159,290
Donacobius_atricapilla,7920,7894,26,151,267
Locustella_ochotensis,7927,7903,24,115,296
Erythrocercus_mccallii,7617,7574,43,296,425
Hylia_prasina,7911,7891,20,132,295
Rhadina_sibilatrix,7777,7753,24,217,344
Hippolais_icterina,7780,7759,21,193,365
Illadopsis_cleaveri,7837,7819,18,183,318
Sterrhoptilus_dennistouni,7936,7910,26,131,271
Zosterops_hypoxanthus,7719,7693,26,256,363
Zosterops_pallidus,7834,7799,35,173,331
Sinosuthora_webbiana,7941,7912,29,120,277
Bombycilla_garrulus,7864,7848,16,184,290
Phainopepla_nitens,7915,7900,15,161,262
Polioptila_caerulea,7951,7926,25,130,257
Thryothorus_ludovicianus,7790,7769,21,215,333
Sitta_europaea,7933,7911,22,136,269
Chloropsis_hardwickii,7735,7709,26,213,390
Irena_cyanogastra,7824,7790,34,207,307
Leptocoma_aspasia,8004,7979,25,99,235
Promerops_cafer,7972,7946,26,131,235
Emberiza_fucata,7677,7657,20,240,421
Loxia_leucoptera,7923,7900,23,143,272
Motacilla_alba,7977,7952,25,120,241
Ploceus_nigricollis,7980,7958,22,113,245
Urocynchramus_pylzowi,8009,7991,18,102,227
Leucopsar_rothschildi,7704,7671,33,283,351
Toxostoma_redivivum,7932,7904,28,133,273
Oenanthe_oenanthe,7897,7882,15,160,281
Callaeas_wilsoni,7864,7842,22,235,239
Melanocharis_versteri,7993,7977,16,96,249
Eopsaltria_australis,8198,7924,274,39,101
Cnemophilus_loriae,8245,8233,12,44,49
Aleadryas_rufinucha,7842,7822,20,202,294
Oriolus_oriolus,8001,7981,20,98,239
Pachycephala_philippinensis,7936,7916,20,119,283
Oreocharis_arfaki,7968,7943,25,122,248
Vireo_altiloquus,7967,7942,25,136,235
Daphoenositta_chrysoptera,7995,7981,14,108,235
Platysteira_castanea,7982,7959,23,108,248
Ptilorrhoa_leucosticta,7800,7774,26,182,356
Chaetorhynchus_papuensis,7934,7897,37,117,287
Rhipidura_dahli,8015,8000,15,102,221
Ifrita_kowaldi,7949,7925,24,153,236
Myiagra_hebetior,8020,7998,22,101,217
Lanius_ludovicianus,7989,7972,17,96,253
Aphelocoma_californica,8264,8237,27,11,63
Aphelocoma_coerulescens,8268,8258,10,17,53
Cyanocitta_stelleri,8281,8261,20,13,44
Coloeus_monedula,8176,8160,16,15,147
Corvus_brachyrhynchos,8252,8236,16,25,61
Corvus_cornix,8246,8223,23,13,79
Corvus_hawaiiensis,8286,8268,18,10,42
Corvus_kubaryi,8114,7852,262,36,188
Corvus_moneduloides,8260,8238,22,15,63
Pica_pica,8233,8223,10,46,59
Garrulus_glandarius,8238,8229,9,41,59
Lanius_collurio,7956,7382,574,192,190
Cicinnurus_regius,8240,8224,16,35,63
Diphyllodes_magnificus,8243,8230,13,25,70
Paradisaea_raggiana,8211,8203,8,60,67
Paradisaea_rubra,8253,8241,12,26,59
Parotia_lawesii,8253,8240,13,23,62
Lycocorax_pyrrhopterus_obiensis,8261,8221,40,19,58
Struthidea_cinerea,8252,8246,6,35,51
